"No.","Time","Source","Destination","Protocol","Length","Info"
"1507","4.133405000","10.0.130.117","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"1509","4.134472000","10.0.128.175","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1510","4.137176000","10.0.130.108","255.255.255.255","UDP","1256","Source port: 1977  Destination port: 2012"
"1511","4.137376000","10.0.130.72","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1512","4.137575000","10.0.129.206","255.255.255.255","UDP","1214","Source port: 1977  Destination port: 2012"
"1516","4.139529000","192.168.14.24","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"1517","4.140280000","10.0.130.196","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1518","4.141911000","10.0.130.173","255.255.255.255","UDP","1211","Source port: 1977  Destination port: 2012"
"1519","4.142526000","10.0.130.169","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"1520","4.142769000","10.0.130.61","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1521","4.144325000","10.0.128.36","255.255.255.255","UDP","1203","Source port: 1977  Destination port: 2012"
"1522","4.144981000","10.0.130.209","255.255.255.255","UDP","1180","Source port: 1977  Destination port: 2012"
"1524","4.149451000","10.0.130.21","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1526","4.157653000","10.0.130.208","255.255.255.255","UDP","1200","Source port: 1977  Destination port: 2012"
"1530","4.162227000","10.0.130.197","255.255.255.255","UDP","1153","Source port: 1977  Destination port: 2012"
"1531","4.165260000","10.0.128.38","255.255.255.255","UDP","1258","Source port: 1977  Destination port: 2012"
"1532","4.166672000","10.0.128.237","255.255.255.255","UDP","1207","Source port: 1977  Destination port: 2012"
"1533","4.168139000","10.0.130.207","255.255.255.255","UDP","1158","Source port: 1977  Destination port: 2012"
"1534","4.171309000","10.0.128.122","255.255.255.255","UDP","1278","Source port: 1977  Destination port: 2012"
"1535","4.172004000","10.0.130.203","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1536","4.174372000","10.0.128.80","255.255.255.255","UDP","1260","Source port: 1977  Destination port: 2012"
"1538","4.177133000","192.168.14.34","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"1539","4.177356000","10.0.130.39","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1540","4.182666000","192.168.14.31","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"1542","4.184898000","10.0.130.201","255.255.255.255","UDP","1205","Source port: 1977  Destination port: 2012"
"1544","4.187106000","10.0.130.204","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1550","4.193217000","192.168.14.22","255.255.255.255","UDP","1162","Source port: 1977  Destination port: 2012"
"1551","4.193421000","192.168.14.23","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"1566","4.207590000","10.0.130.9","255.255.255.255","UDP","1250","Source port: 1977  Destination port: 2012"
"1567","4.209710000","10.0.130.202","255.255.255.255","UDP","1206","Source port: 1977  Destination port: 2012"
"1570","4.213789000","10.0.130.199","255.255.255.255","UDP","1204","Source port: 1977  Destination port: 2012"
"1577","4.218312000","10.0.130.40","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1595","4.226161000","10.0.130.177","255.255.255.255","UDP","1209","Source port: 1977  Destination port: 2012"
"1600","4.235910000","10.0.130.32","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1601","4.237213000","10.0.130.38","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1605","4.254535000","192.168.14.24","255.255.255.255","UDP","1163","Source port: 1977  Destination port: 2012"
"1616","4.288341000","10.0.130.39","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1935","5.421007000","10.0.129.163","255.255.255.255","UDP","1188","Source port: 1977  Destination port: 2012"
"1940","5.426589000","192.168.14.161","255.255.255.255","UDP","1132","Source port: 1977  Destination port: 2012"
"1944","5.429136000","10.0.130.30","255.255.255.255","UDP","1129","Source port: 1977  Destination port: 2012"
"1945","5.430193000","10.0.129.164","255.255.255.255","UDP","1154","Source port: 1977  Destination port: 2012"
"1946","5.430204000","10.0.128.45","255.255.255.255","UDP","1168","Source port: 1977  Destination port: 2012"
"1948","5.430555000","10.0.130.89","255.255.255.255","UDP","1124","Source port: 1977  Destination port: 2012"
"1951","5.434819000","10.0.130.96","255.255.255.255","UDP","1181","Source port: 1977  Destination port: 2012"
"1952","5.437226000","10.0.130.211","255.255.255.255","UDP","1188","Source port: 1977  Destination port: 2012"
"1953","5.438591000","10.0.130.66","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1954","5.438593000","10.0.130.62","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1955","5.438709000","10.0.128.126","255.255.255.255","UDP","1182","Source port: 1977  Destination port: 2012"
"1957","5.441079000","10.0.128.99","255.255.255.255","UDP","1155","Source port: 1977  Destination port: 2012"
"1958","5.443231000","10.0.130.210","255.255.255.255","UDP","1131","Source port: 1977  Destination port: 2012"
"1960","5.443235000","10.0.130.118","255.255.255.255","UDP","1161","Source port: 1977  Destination port: 2012"
"1963","5.445223000","10.0.130.69","255.255.255.255","UDP","1157","Source port: 1977  Destination port: 2012"
"1966","5.448726000","10.0.128.202","255.255.255.255","UDP","1261","Source port: 1977  Destination port: 2012"
"1970","5.451295000","10.0.130.59","255.255.255.255","UDP","1156","Source port: 1977  Destination port: 2012"
"1972","5.452537000","10.0.130.112","255.255.255.255","UDP","1187","Source port: 1977  Destination port: 2012"
